"ID","Region","File_Path","catch","total mortality","harvest","total removals","catch per unit effort|cpue","catch rate","index of abundance","catch per effort|fishing success","landings","retained catch","projection","forecast","prediction","sex","gender","spawning biomass|sb","spawning stock biomass|ssb","spawning output","spawning stock output|sso|mature biomass|spawners|effective spawning output","mass","weight"
"26","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/blue swimmer crab stock assessment report 2020.pdf",0.09,0,0.13,0,0,0.02,0.01,0,0,0,0.01,0,0,0.01,0,0.01,0,0,0,0,0.01
"27","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/BWF_StockAssessmentReport_2019_FINAL.pdf",0.06,0,0.05,0,0,0.01,0,0,0,0,0,0,0,0.01,0,0.01,0,0,0.01,0,0.01
"28","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/Common coral trout stock assessment 2020.pdf",0.05,0,0.09,0,0,0.01,0,0,0,0,0.01,0,0,0.01,0,0.01,0,0.01,0.01,0,0.02
"29","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/Eastern king prawn stock assessment report 2020.pdf",0.15,0,0.06,0,0,0.04,0,0,0,0,0,0,0,0.01,0,0.03,0,0,0.01,0,0.01
"30","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/Grey_mackerel_stock_assessment_report_2019_final.pdf",0.08,0,0.15,0,0,0.02,0,0,0,0,0,0,0.01,0,0,0,0,0,0.01,0,0.01
"31","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/King threadfin stock assessment 2020.pdf",0.09,0,0.09,0,0,0.04,0,0,0,0,0,0,0,0,0,0.03,0,0.01,0.01,0,0.01
"32","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/Mudcrab Catch-MSY Final.pdf",0.12,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/Mullet_stock_assessment_report_2018.pdf",0.16,0,0.08,0,0,0.03,0,0,0.02,0,0,0,0,0.02,0.01,0.01,0,0,0.01,0,0.02
"34","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/redthroat emperor stock assessment report 2020.pdf",0.07,0,0.09,0,0,0.02,0,0,0,0,0,0,0,0.02,0,0.01,0,0,0,0,0.04
"35","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/Saddletail snapper stock assessment report 2021.pdf",0.07,0,0.08,0,0,0.02,0,0,0.01,0,0,0,0,0.02,0,0.02,0,0,0.01,0,0.02
"36","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/SnapperStockAssessment2018V3.pdf",0.2,0,0.07,0,0,0.04,0.01,0,0,0,0,0,0,0,0,0.01,0,0,0.01,0,0.01
"37","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/Spanish mackerel EC stock assessment report 2021.pdf",0.12,0,0.06,0,0,0.03,0,0,0,0,0.01,0,0,0,0,0.04,0,0,0,0,0.01
"38","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/Spanish mackerel GOC stock assessment report 2019.pdf",0.11,0,0.14,0,0,0.03,0,0,0,0,0,0,0,0.01,0,0.02,0.01,0,0.01,0,0.02
"39","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/Stock assessment of Queensland east coast crimson snapper.pdf",0.07,0,0.11,0,0,0.02,0,0,0,0,0,0,0,0.01,0,0.05,0,0,0.01,0,0.01
"40","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/Stock assessment of Queensland red emperor 2022.pdf",0.09,0,0.07,0,0,0.02,0,0,0,0.01,0,0,0,0,0,0.04,0,0,0.02,0,0.01
"41","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/Stock assessment of the Queensland ballots saucer scallop_2022ed..pdf",0.17,0,0.08,0,0.01,0.05,0,0,0,0,0,0,0,0,0,0.04,0,0,0.01,0,0.01
"42","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/stout whiting stock assessment report 2021.pdf",0.16,0,0.1,0,0,0.05,0,0,0,0,0.01,0,0,0,0,0.03,0,0,0,0,0.02
"43","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/Tailor stock assessment report 2020.pdf",0.08,0,0.13,0,0,0.02,0,0,0,0,0,0,0,0,0,0.06,0,0,0.01,0,0.02
"44","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/Tiger prawn stock assessment report 2020.pdf",0.17,0,0.09,0,0,0.05,0,0,0,0,0,0,0,0,0,0.01,0,0,0.01,0,0.02
"45","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/White teatfish stock assessment 2021.pdf",0.13,0,0.06,0,0,0.03,0,0,0,0,0,0,0,0,0,0.03,0,0,0.02,0,0.04
"46","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/01_WGNSSK_Report_2019.pdf",0.07,0,0.01,0,0.01,0,0,0,0.08,0,0,0.02,0,0,0,0.03,0.03,0,0.01,0,0.01
"47","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/ices2023_WKBCOD_report_2023.pdf",0.08,0,0,0,0,0,0,0,0.09,0,0,0.01,0,0,0,0.04,0.04,0,0.01,0,0.01
"48","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/WKBALTCOD2_2019.pdf",0.06,0,0.01,0,0.01,0,0,0,0.02,0,0,0,0,0,0,0.01,0.02,0,0.01,0,0.02
"49","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/WKBBALTPEL_2023_final_report.pdf",0.05,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0.03,0.03,0,0.01,0,0.01
"50","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/wkdem_2020.pdf",0.08,0,0,0,0,0,0,0,0.04,0,0,0,0.01,0,0,0.03,0.03,0,0.01,0,0.01
"51","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/WKFlatNSCS_2020.pdf",0.05,0,0,0,0,0,0,0,0.36,0,0,0,0,0.01,0,0.01,0.01,0,0.01,0,0.02
"52","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/WKMSYSPiCT_2021.pdf",0.08,0,0,0,0.06,0,0,0,0.06,0,0,0.01,0,0,0,0,0,0,0,0,0.01
"53","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/WKSPRAT_2018_Report.pdf",0.05,0,0.01,0,0.01,0,0,0,0.01,0,0,0.02,0,0,0,0.02,0.02,0,0.01,0,0.01
"54","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIatf.pdf",0.17,0,0.02,0,0.01,0,0,0,0,0,0.05,0,0,0,0,0.01,0,0,0.02,0,0
"55","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIatka.pdf",0.06,0,0.01,0,0.02,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0.01,0,0.01
"56","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIocto.pdf",0.11,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01
"57","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIoflat (8).pdf",0.08,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0
"58","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIorock (5).pdf",0.1,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0
"59","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIpop.pdf",0.22,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.01,0,0,0.01,0,0
"60","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIrocksole.pdf",0.03,0,0.02,0,0,0,0,0,0,0,0,0,0.01,0.02,0,0.02,0.01,0,0,0,0.01
"61","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIrougheye (2).pdf",0.06,0,0.02,0,0.01,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0.01
"62","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIskate.pdf",0.19,0,0.08,0,0,0,0,0,0,0,0.04,0,0,0,0,0.01,0,0,0,0,0
"63","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/EBSpcod.pdf",0.01,0,0.01,0,0.02,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0.01,0,0.01
"64","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/EBSPollock.pdf",0.06,0,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0.01,0.01,0.01
"65","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/GOAdeepflat.pdf",0.03,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.01,0,0.01,0,0
"66","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/GOAskate (9).pdf",0.05,0,0.03,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"67","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/PIRKC.pdf",0.04,0,0.01,0,0,0,0,0,0,0.01,0,0,0,0.03,0,0,0,0,0,0,0.01
"68","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/sablefish.pdf",0.05,0,0.01,0,0.02,0,0,0,0,0,0,0,0,0,0,0.03,0.02,0,0.02,0,0.01
"69","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/SAFE_snow.pdf",0.06,0,0.01,0,0,0,0,0,0,0.03,0,0,0,0.03,0,0,0,0,0.03,0,0.01
"70","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/2020_FLD_GMGB_RPT.pdf",0.13,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0.02,0.02,0,0,0,0
"71","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/2020_FLW_GM_RPT_Update_report_08_26_095440 (1).pdf",0.13,0,0,0.02,0,0,0,0,0.05,0,0,0,0,0,0,0.02,0.02,0,0,0,0
"72","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/2020_Herring_Unit_Report.pdf",0.09,0,0.02,0,0,0,0,0,0,0,0.06,0,0,0,0,0.05,0.08,0,0,0,0
"73","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/2020_HKR_SNEMA_RPT.pdf",0.09,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0.02,0.02,0,0,0,0
"74","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/2020_HKS_GM_RPT.pdf",0.14,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0.02,0.02,0,0,0,0
"75","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/2020_scallop_unit_maindoc_rev.pdf",0.02,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0.07,0.08,0,0,0,0.01
"76","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/2021_COD_GB_REPORT_ver3.pdf",0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.03,0,0.01,0,0
"77","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/2021_scup_MTA_report.pdf",0.1,0,0,0,0.01,0,0,0,0.07,0,0.01,0,0,0,0,0.08,0.14,0,0,0,0
"78","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/2021_summer_flounder_MTA_report.pdf",0.09,0,0,0,0,0,0,0,0.06,0,0.02,0,0,0,0,0.13,0.18,0,0,0,0
"79","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/4d_SkateAssessmentUpdate_July_2020.pdf",0.07,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.03
"80","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/Bluefish_2021_Assesssment_Update_v4.pdf",0.1,0,0,0,0,0,0,0,0.09,0,0.01,0,0,0,0,0.11,0.16,0,0,0,0
"81","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/crd0609a.pdf",0.03,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0.02,0.03,0,0,0,0.02
"82","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/Georges_Bank_Winter_Flounder_Update_2020_09_18_111359.pdf",0.11,0,0.01,0,0,0,0,0,0.03,0,0.01,0,0,0,0,0.1,0.13,0,0.02,0,0.01
"83","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/Golden_Tile_Assessment_MT2021_2.pdf",0.06,0,0,0,0.1,0,0.01,0,0.14,0,0.01,0,0,0,0,0.12,0.17,0,0,0,0.01
"84","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/noaa_24818_DS1.pdf",0.13,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0.02,0,0.01,0,0.01
"85","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/TSR_EGB_Haddock_2021_meeting_draft.pdf",0.07,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0.01
"86","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/2011Dick3.pdf",0.06,0,0.01,0,0.01,0,0,0,0.03,0,0,0.01,0,0,0,0,0,0.02,0.01,0,0
"87","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/agenda-item-h-5-attachment-9-2.pdf",0.05,0.01,0.01,0,0,0,0,0,0.03,0,0,0,0,0,0,0.01,0,0.04,0.01,0,0.01
"88","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/Blue-Deacon_Assessment_2017_Final.pdf",0.06,0,0.01,0,0.02,0,0,0,0.03,0,0,0,0,0,0,0,0,0.02,0.02,0,0
"89","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/c-6-attachment-1-full-assessment-electronic-only-status-of-lingcod-ophiodon-elongatus-along-the-northern-u-s-west-coast-in-2021.pdf",0.05,0,0,0,0.01,0,0,0,0.05,0,0,0,0,0.01,0,0.02,0.01,0,0.01,0,0.01
"90","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/Cabezon-2019_FINAL.pdf",0.06,0,0.01,0,0.01,0,0,0,0.02,0,0,0,0,0,0,0.03,0,0.02,0.01,0,0.01
"91","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/California Scorpionfish.pdf",0.08,0,0.01,0,0.01,0,0.01,0,0.01,0.01,0,0,0,0.01,0,0.02,0,0,0.01,0,0.01
"92","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/dover_sole_december_2021_final.pdf",0.02,0,0.01,0,0,0,0.01,0,0.03,0,0,0,0,0.02,0,0.04,0,0,0.01,0,0.01
"93","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/g-5-attachment-3-draft-full-assessment-of-status-of-the-pacific-spiny-dogfish-shark-resource-off-the-continental-u-s-pacific-coast-in-2021-electronic-only.pdf",0.08,0,0.01,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0.04,0.02,0,0.01
"94","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/Gopher_BlackandYellow_Assessment_2019-1.pdf",0.1,0.01,0.01,0,0,0,0.01,0,0.04,0,0,0,0,0,0,0,0,0.01,0.01,0,0
"95","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/hake-assessment-post-srg-final_20210303.pdf",0.08,0,0.02,0,0,0,0,0,0.01,0,0,0.01,0,0,0,0.05,0,0,0.01,0,0.01
"96","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/Longnose skate 2019_FINAL.pdf",0.08,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0.03,0,0.01,0.02,0,0.01
"97","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/PacificOceanPerch2017_Assessment_Final.pdf",0.04,0,0.01,0,0.01,0,0.01,0,0.03,0,0,0,0,0.01,0,0,0,0.04,0.01,0,0.02
"98","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/sablefish_20191022.pdf",0.05,0,0.01,0,0,0,0,0,0.02,0,0,0,0,0,0,0.02,0,0,0.01,0,0.01
"99","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/WidowAssessment2015.pdf",0.02,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0.02,0,0,0,0,0.01
"100","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/Yelloweye rockfish 2017.pdf",0.07,0,0,0,0.01,0,0,0,0.02,0,0,0,0,0,0,0,0,0.03,0.01,0,0
"101","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/Yellowtail rockfish 2017.pdf",0.05,0,0.01,0,0.01,0,0,0,0.02,0,0,0,0,0,0,0,0,0.02,0.01,0,0.01
"102","NOAA-PIFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-PIFSC/NMFS-PIFSC-60.pdf",0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01
"103","NOAA-PIFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-PIFSC/noaa_17252_DS1.pdf",0.13,0,0.03,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01
"104","NOAA-PIFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-PIFSC/noaa_20062_DS1.pdf",0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0
