"ID","Region","File_Path","biomass|b|abundance","spawning biomass|sb|spawning stock biomass|ssb|mature biomass|spawners|effective spawning output","unfished|virgin|initial equilibrium|unfished equilibrium","recruitment","recruits|recruit|age 0 fish|age 1 fish","catch|harvest|total removals","catch per unit effort|cpue|catch rate|index of abundance|catch per effort|fishing success","landings|retained catch","spawner per recruit|spawning potential ratio|spr","maximum sustainable yield|msy","instantaneous total mortality rate|z","fishing mortality|f|instantaneous fishing mortality rate|harvest rate|exploitation rate|finite fishing mortality|apical f","fishing mortality at maximum sustainable yield|fmsy","mass","length composition|length frequency|length observation|size frequency|size composition","age composition|age frequency|age observation","projection","sex|gender","plus group"
"11","Australia-Federal","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Federal/Stock assessment of the Joseph Bonaparte Gulf redleg banana prawn (Penaeus indicus) fishery to 2021.pdf",1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,0,0,0,0
"12","Australia-Federal","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Federal/TigerFlathead2019.pdf",1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0
"13","Australia-Other","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Other/2021-sardine-fishery-stock-assessment.pdf",1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1
"14","Australia-Other","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Other/2021 assessment of the status of the West Coast Demersal Scalefis.pdf",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
"15","Australia-Other","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Other/FINAL_RL-Stock-Assessment-Report-201718-final-150319-for-email.pdf",1,1,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0
"16","Australia-Other","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Other/Fisheries Research Report 319_ Resource Assessment Report for Aus.pdf",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"17","Australia-Other","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Other/Harvestable_biomass_of_Katelysia_spp._in_the_South_Australian_Vongole_Fishery.pdf",1,1,0,1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0
"18","Australia-Other","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Other/nz-rock-lobster-2019-20-assessment.pdf",1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,1,1
"19","Australia-Other","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Other/RL_Stock_Assessment_2017-19_Final_June_2019.pdf",1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0
"20","Australia-Other","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Other/rr2016-0822_torres_strait_rock_lobster_final_report_2019_on_fishery_surveys_cpue_stock_assessment_and_harvest_control_rule_development.pdf",1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0
"21","Australia-Other","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Other/Snapper_Chrysophrys_auratus_Fishery_Assessment.pdf",1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,1,1,1
"22","Australia-Other","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Other/sz-rock-lobster-2019-20-assessment.pdf",1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1
"23","Australia-Other","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Other/Torres Strait Spanish mackerel stock assessment with data to June 2021.pdf",1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0
"24","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/Barramundi Stock Assessment 2019 Final.pdf",1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,0
"25","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/Black teatfish stock assessment 2021.pdf",1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1
"26","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/blue swimmer crab stock assessment report 2020.pdf",1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,1,1,0
"27","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/BWF_StockAssessmentReport_2019_FINAL.pdf",1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0
"28","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/Common coral trout stock assessment 2020.pdf",1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0
"29","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/Eastern king prawn stock assessment report 2020.pdf",1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0,0,1,0
"30","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/Grey_mackerel_stock_assessment_report_2019_final.pdf",1,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,0,1,0
"31","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/King threadfin stock assessment 2020.pdf",1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
"32","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/Mudcrab Catch-MSY Final.pdf",1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0
"33","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/Mullet_stock_assessment_report_2018.pdf",1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,0
"34","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/redthroat emperor stock assessment report 2020.pdf",1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0
"35","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/Saddletail snapper stock assessment report 2021.pdf",1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0
"36","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/SnapperStockAssessment2018V3.pdf",1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,0
"37","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/Spanish mackerel EC stock assessment report 2021.pdf",1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0
"38","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/Spanish mackerel GOC stock assessment report 2019.pdf",1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0,0,1,0
"39","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/Stock assessment of Queensland east coast crimson snapper.pdf",1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,0
"40","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/Stock assessment of Queensland red emperor 2022.pdf",1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,0
"41","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/Stock assessment of the Queensland ballots saucer scallop_2022ed..pdf",1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0
"42","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/stout whiting stock assessment report 2021.pdf",1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,0
"43","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/Tailor stock assessment report 2020.pdf",1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0
"44","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/Tiger prawn stock assessment report 2020.pdf",1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0
"45","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/White teatfish stock assessment 2021.pdf",1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0
"Sum",NA,NA,45,45,43,45,45,45,44,32,12,35,25,45,6,17,37,31,22,40,12
