"ID","Region","File_Path","biomass|b|abundance","spawning biomass|sb|spawning stock biomass|ssb|mature biomass|spawners|effective spawning output","unfished|virgin|initial equilibrium|unfished equilibrium","recruitment","recruits|recruit|age 0 fish|age 1 fish","catch|harvest|total removals","catch per unit effort|cpue|catch rate|index of abundance|catch per effort|fishing success","landings|retained catch","spawner per recruit|spawning potential ratio|spr","maximum sustainable yield|msy","instantaneous total mortality rate|z","fishing mortality|f|instantaneous fishing mortality rate|harvest rate|exploitation rate|finite fishing mortality|apical f","fishing mortality at maximum sustainable yield|fmsy","mass","length composition|length frequency|length observation|size frequency|size composition","age composition|age frequency|age observation","projection","sex|gender","plus group"
"11","Australia-Federal","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Federal/Stock assessment of the Joseph Bonaparte Gulf redleg banana prawn (Penaeus indicus) fishery to 2021.pdf",1.29,0.04,0,0.05,0.09,0.14,0.07,0,0,0.04,0,2.26,0,0.01,0,0,0,0,0
"12","Australia-Federal","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Federal/TigerFlathead2019.pdf",1,0.09,0.01,0.1,0.11,0.18,0.03,0.01,0,0.01,0,2.18,0,0,0.04,0.01,0,0,0
"13","Australia-Other","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Other/2021-sardine-fishery-stock-assessment.pdf",0.93,0.09,0,0.03,0.04,0.13,0.01,0,0,0,0.02,2.1,0,0.02,0.01,0.01,0,0.02,0
"14","Australia-Other","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Other/2021 assessment of the status of the West Coast Demersal Scalefis.pdf",1.19,0.01,0.01,0.04,0.05,0.2,0.11,0.01,0.03,0.07,0,1.99,0.01,0,0,0.02,0,0.01,0
"15","Australia-Other","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Other/FINAL_RL-Stock-Assessment-Report-201718-final-150319-for-email.pdf",1.2,0,0,0.03,0.05,0.22,0.21,0,0,0,0,1.97,0,0,0,0,0,0,0
"16","Australia-Other","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Other/Fisheries Research Report 319_ Resource Assessment Report for Aus.pdf",1.05,0.02,0,0.08,0.1,0.21,0.05,0.01,0.05,0.07,0,2.21,0.01,0,0.01,0.02,0,0.01,0
"17","Australia-Other","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Other/Harvestable_biomass_of_Katelysia_spp._in_the_South_Australian_Vongole_Fishery.pdf",1.59,0,0,0.03,0.03,0.27,0,0,0,0.07,0,2.05,0,0,0,0,0,0,0
"18","Australia-Other","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Other/nz-rock-lobster-2019-20-assessment.pdf",1.1,0.01,0.01,0.04,0.06,0.27,0.12,0,0,0,0,2.08,0,0,0,0,0,0.03,0
"19","Australia-Other","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Other/RL_Stock_Assessment_2017-19_Final_June_2019.pdf",1.25,0.02,0.03,0.09,0.11,0.18,0.1,0,0,0,0.01,1.94,0,0,0,0,0,0,0
"20","Australia-Other","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Other/rr2016-0822_torres_strait_rock_lobster_final_report_2019_on_fishery_surveys_cpue_stock_assessment_and_harvest_control_rule_development.pdf",1.36,0.01,0,0.01,0.03,0.17,0.08,0,0,0,0,1.82,0,0,0,0,0,0.01,0
"21","Australia-Other","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Other/Snapper_Chrysophrys_auratus_Fishery_Assessment.pdf",0.98,0.05,0,0.06,0.06,0.16,0.06,0,0,0,0.01,2.34,0,0,0,0.01,0,0.01,0
"22","Australia-Other","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Other/sz-rock-lobster-2019-20-assessment.pdf",1.1,0.01,0.01,0.03,0.05,0.27,0.14,0,0,0,0.01,2.11,0,0,0.01,0,0,0.03,0
"23","Australia-Other","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Other/Torres Strait Spanish mackerel stock assessment with data to June 2021.pdf",1.04,0.03,0.01,0.03,0.03,0.28,0.11,0.01,0,0.01,0.01,2.28,0,0,0,0.01,0,0,0
"24","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/Barramundi Stock Assessment 2019 Final.pdf",1.28,0.01,0.02,0.02,0.02,0.28,0.04,0,0,0.02,0,2.04,0,0,0,0,0,0.01,0
"25","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/Black teatfish stock assessment 2021.pdf",1.52,0.02,0.02,0.06,0.06,0.2,0.02,0,0,0,0,2.17,0,0,0,0,0,0,0
"26","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/blue swimmer crab stock assessment report 2020.pdf",1.6,0.02,0.02,0.04,0.06,0.27,0.07,0,0,0.01,0,1.96,0,0,0.01,0,0.01,0.01,0
"27","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/BWF_StockAssessmentReport_2019_FINAL.pdf",1.18,0.03,0.02,0.03,0.04,0.14,0.04,0,0,0.02,0,2.52,0,0,0.08,0.03,0,0.01,0
"28","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/Common coral trout stock assessment 2020.pdf",1.07,0.02,0.02,0.01,0.01,0.16,0.03,0,0,0,0,1.99,0,0,0.02,0,0.01,0.01,0
"29","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/Eastern king prawn stock assessment report 2020.pdf",0.99,0.04,0.01,0.05,0.08,0.25,0.1,0,0,0.04,0,2.01,0,0,0.05,0,0,0.01,0
"30","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/Grey_mackerel_stock_assessment_report_2019_final.pdf",0.95,0.01,0.03,0.04,0.04,0.26,0.07,0,0,0.03,0,1.86,0,0,0,0,0,0,0
"31","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/King threadfin stock assessment 2020.pdf",1.05,0.06,0.02,0.02,0.03,0.24,0.08,0,0,0.01,0,2.37,0,0,0.02,0.01,0,0.01,0
"32","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/Mudcrab Catch-MSY Final.pdf",1.44,0.01,0.02,0,0.01,0.32,0.02,0,0,0.07,0,2.12,0,0,0,0,0,0,0
"33","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/Mullet_stock_assessment_report_2018.pdf",1.04,0.01,0.03,0.03,0.03,0.28,0.1,0.02,0,0.02,0,2.03,0,0,0.01,0.01,0,0.03,0
"34","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/redthroat emperor stock assessment report 2020.pdf",1.04,0.04,0.02,0.03,0.03,0.19,0.04,0,0,0,0,2.21,0,0,0.02,0.01,0,0.02,0
"35","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/Saddletail snapper stock assessment report 2021.pdf",0.91,0.03,0.01,0.01,0.01,0.18,0.06,0.02,0,0,0,2.15,0,0,0.02,0.01,0,0.02,0
"36","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/SnapperStockAssessment2018V3.pdf",0.92,0.01,0.02,0.01,0.02,0.32,0.16,0,0,0.01,0.01,2.38,0,0,0,0,0,0,0
"37","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/Spanish mackerel EC stock assessment report 2021.pdf",0.91,0.05,0.04,0.03,0.04,0.23,0.1,0,0,0,0,2.17,0,0,0.01,0,0.01,0.01,0
"38","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/Spanish mackerel GOC stock assessment report 2019.pdf",0.9,0.04,0.04,0.04,0.05,0.28,0.09,0,0,0.01,0,2,0,0,0,0,0,0.01,0
"39","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/Stock assessment of Queensland east coast crimson snapper.pdf",0.94,0.07,0.02,0.01,0.02,0.2,0.06,0,0,0,0,2.33,0,0,0.01,0,0,0.01,0
"40","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/Stock assessment of Queensland red emperor 2022.pdf",0.69,0.05,0.02,0.01,0.01,0.17,0.04,0.01,0,0.01,0,2.13,0,0,0.01,0,0,0.01,0
"41","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/Stock assessment of the Queensland ballots saucer scallop_2022ed..pdf",1.2,0.05,0.03,0.03,0.04,0.28,0.12,0,0,0.01,0,1.91,0,0,0,0,0,0,0
"42","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/stout whiting stock assessment report 2021.pdf",1.11,0.06,0.04,0.01,0.01,0.31,0.09,0,0,0.02,0,1.9,0,0,0.02,0.01,0.01,0,0
"43","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/Tailor stock assessment report 2020.pdf",0.86,0.08,0.03,0.09,0.1,0.26,0.05,0,0,0.02,0.01,1.84,0,0,0,0,0,0,0
"44","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/Tiger prawn stock assessment report 2020.pdf",1.23,0.02,0.02,0.09,0.11,0.32,0.11,0,0,0.06,0.01,2.1,0,0,0,0,0,0,0
"45","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/White teatfish stock assessment 2021.pdf",1.32,0.04,0.03,0.07,0.07,0.23,0.08,0,0,0,0,2.27,0,0,0,0,0,0,0
"Sum",NA,NA,50.33,1.83,0.7,1.98,2.42,9.08,3.3,0.18,0.08,0.64,0.1,93.24,0.02,0.04,0.71,0.25,0.04,0.35,0.01
