"ID","Region","File_Path","biomass|b","abundance","spawning biomass|sb","spawning stock biomass|ssb","mature biomass","spawners","effective spawning output","unfished","virgin","initial equilibrium","unfished equilibrium","recruitment","recruits","recruit","age 0 fish","age 1 fish","catch","harvest","total removals","catch per unit effort|cpue","catch rate","index of abundance","catch per effort","fishing success","landings","retained catch","spawner per recruit|spr","spawning potential ratio","maximum sustainable yield|msy","instantaneous total mortality rate|z","fishing mortality|f","instantaneous fishing mortality rate","harvest rate","exploitation rate","finite fishing mortality","apical f","fishing mortality at maximum sustainable yield|fmsy","mass","length composition","length frequency","length observation","size frequency","size composition","age composition","age frequency","age observation","projection","sex","gender","plus group"
"11","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/EBSPollock.pdf",319,52,80,8,1,1,0,3,0,0,0,89,14,4,0,0,186,31,1,23,0,0,0,0,1,10,7,0,23,24,1364,0,2,5,0,0,3,21,3,5,0,0,0,33,0,0,9,11,0,0
"12","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/GOAdeepflat.pdf",151,10,26,12,0,1,0,4,0,0,0,43,11,0,0,0,42,16,0,4,0,0,0,0,0,0,2,0,5,8,707,0,0,0,0,0,0,0,25,0,0,0,0,11,0,0,3,6,0,0
"13","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/GOAskate (9).pdf",102,18,0,0,0,0,0,0,0,0,0,6,0,0,0,0,43,23,0,12,0,0,0,0,0,0,0,0,0,1,569,0,0,2,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0
"14","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/PIRKC.pdf",233,22,2,2,0,0,0,1,0,0,0,21,0,0,0,0,27,6,0,1,0,0,0,0,1,5,1,0,10,10,373,0,0,0,0,0,0,1,10,1,0,0,7,0,0,0,0,20,0,0
"15","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/sablefish.pdf",446,137,183,98,0,23,0,7,0,0,0,257,5,13,0,0,269,53,4,112,11,2,0,2,16,2,1,0,9,27,2910,0,1,1,0,0,0,0,13,1,0,0,2,43,1,0,23,13,0,4
"16","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/SAFE_snow.pdf",356,14,2,0,19,0,0,4,1,0,0,32,4,4,0,0,76,14,0,2,0,1,0,0,0,30,0,0,14,5,738,0,5,3,0,0,3,2,6,0,0,2,63,0,0,0,0,30,0,0
"17","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/2020_FLD_GMGB_RPT.pdf",18,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,13,0,0,0,0,0,0,0,3,0,0,0,6,0,62,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/2020_FLW_GM_RPT_Update_report_08_26_095440 (1).pdf",22,3,2,2,0,0,0,0,0,0,0,1,0,1,0,0,13,0,2,0,0,0,0,0,5,0,0,0,1,0,107,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/2020_Herring_Unit_Report.pdf",11,2,5,8,0,0,0,0,0,0,0,12,3,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,1,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
"20","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/2020_HKR_SNEMA_RPT.pdf",18,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,4,0,0,0,5,0,66,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/2020_HKS_GM_RPT.pdf",13,1,2,2,0,0,0,0,0,0,0,2,0,0,0,0,12,0,0,0,0,0,0,0,2,0,0,0,1,0,64,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/2020_scallop_unit_maindoc_rev.pdf",29,3,7,8,0,0,0,0,0,0,0,5,1,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,12,0,45,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/2021_COD_GB_REPORT_ver3.pdf",16,0,2,3,0,0,0,0,0,0,0,1,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,1,0,50,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/2021_scup_MTA_report.pdf",56,6,18,31,0,0,0,0,0,0,0,17,0,3,1,0,22,0,0,3,0,1,0,0,15,0,0,0,24,0,115,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0
"25","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/2021_summer_flounder_MTA_report.pdf",73,3,29,40,0,0,0,0,0,0,0,21,1,6,1,0,20,1,0,0,0,0,0,0,14,0,0,0,24,0,120,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,1,0,0
"26","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/4d_SkateAssessmentUpdate_July_2020.pdf",35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,1,0,0,0,9,0,97,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/Bluefish_2021_Assesssment_Update_v4.pdf",31,2,16,22,0,0,0,0,0,0,0,17,0,1,0,0,14,0,0,0,0,0,0,0,12,0,0,0,16,0,59,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0
"28","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/crd0609a.pdf",474,95,93,101,0,0,0,0,1,0,0,76,53,14,0,0,123,10,0,7,1,1,0,0,336,0,0,0,49,45,1767,0,0,0,0,0,18,0,11,1,0,1,0,6,0,0,5,2,0,1
"29","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/Georges_Bank_Winter_Flounder_Update_2020_09_18_111359.pdf",30,4,14,18,0,0,0,0,0,0,0,4,3,0,0,4,15,1,0,0,0,0,0,0,4,0,0,0,4,0,111,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,2,0,0,0
"30","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/Golden_Tile_Assessment_MT2021_2.pdf",40,3,24,34,0,0,0,0,0,0,0,14,0,2,0,0,12,0,0,19,0,1,0,0,27,0,0,0,28,0,106,0,0,0,0,0,13,0,0,3,0,0,3,0,0,0,1,0,0,0
"31","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/noaa_24818_DS1.pdf",117,10,1,10,0,0,0,0,0,0,0,4,13,0,0,1,78,0,0,0,0,0,0,0,39,0,0,0,0,2,330,0,0,22,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0
"32","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/TSR_EGB_Haddock_2021_meeting_draft.pdf",93,7,1,0,0,0,0,0,0,0,0,5,0,0,0,0,40,1,0,0,0,0,0,0,20,0,0,0,0,9,187,0,0,0,0,0,0,0,1,4,0,0,0,2,0,0,0,0,0,0
"33","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/2011Dick3.pdf",128,31,16,4,0,0,0,51,1,0,1,51,4,0,0,0,256,25,0,28,0,1,0,0,130,1,60,0,80,15,1382,0,11,12,0,0,8,0,82,5,0,0,3,14,0,0,0,7,18,0
"34","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/agenda-item-h-5-attachment-9-2.pdf",269,83,36,6,7,3,0,80,1,1,4,65,5,2,0,0,175,30,3,10,2,9,0,0,98,1,43,3,41,22,1544,0,11,11,0,0,4,1,19,3,0,0,3,9,2,0,2,12,1,1
"35","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/Blue-Deacon_Assessment_2017_Final.pdf",275,126,24,17,0,0,0,70,0,6,7,139,12,4,0,0,446,96,9,123,21,18,0,0,241,12,46,6,56,35,3255,0,12,21,0,0,9,0,60,1,0,0,2,29,2,0,13,21,31,0
"36","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/c-6-attachment-1-full-assessment-electronic-only-status-of-lingcod-ophiodon-elongatus-along-the-northern-u-s-west-coast-in-2021.pdf",122,39,50,20,0,2,0,56,12,0,2,40,3,4,0,0,157,7,0,43,1,9,0,0,146,6,23,1,23,11,1429,0,3,5,0,0,1,0,12,0,0,0,0,13,0,0,3,25,15,1
"37","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/Cabezon-2019_FINAL.pdf",465,77,154,7,0,0,0,67,0,4,9,248,11,25,0,0,306,78,9,58,10,17,0,1,108,0,134,24,79,16,2169,0,15,18,0,0,16,1,71,0,0,0,0,22,1,0,14,8,24,0
"38","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/California Scorpionfish.pdf",98,39,43,1,0,1,0,18,1,0,5,69,6,1,0,0,210,26,3,36,2,16,0,0,38,28,22,2,3,16,1177,0,7,5,0,0,0,0,45,7,0,0,2,7,0,0,3,36,1,1
"39","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/dover_sole_december_2021_final.pdf",202,47,109,3,0,0,0,68,3,0,3,54,2,3,0,0,63,18,1,0,0,19,0,0,80,0,36,1,13,3,1250,0,4,12,0,0,0,0,31,7,1,0,0,15,1,1,6,64,1,2
"40","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/g-5-attachment-3-draft-full-assessment-of-status-of-the-pacific-spiny-dogfish-shark-resource-off-the-continental-u-s-pacific-coast-in-2021-electronic-only.pdf",50,26,9,1,0,0,0,32,0,0,5,38,3,0,0,0,167,24,0,0,3,1,0,0,108,4,37,9,22,2,1306,0,4,14,0,0,0,0,17,19,0,0,1,4,2,0,0,6,0,0
"41","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/Gopher_BlackandYellow_Assessment_2019-1.pdf",104,51,9,1,0,0,0,18,1,0,2,90,7,6,0,0,237,16,1,11,0,25,0,0,106,3,19,3,2,11,1301,0,3,4,0,0,0,0,65,0,0,0,2,11,0,0,0,8,0,1
"42","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/hake-assessment-post-srg-final_20210303.pdf",457,26,221,6,0,1,0,0,1,0,0,189,7,17,0,0,389,79,1,13,0,6,0,0,29,1,68,13,51,10,1872,0,11,1,0,0,3,2,0,1,0,0,1,15,0,0,5,1,7,0
"43","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/Longnose skate 2019_FINAL.pdf",174,26,80,0,0,0,0,32,2,0,4,43,7,2,0,0,187,12,1,12,3,1,0,0,174,1,51,5,26,3,1264,0,2,12,0,0,0,0,20,13,0,0,1,9,4,0,0,6,0,0
"44","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/PacificOceanPerch2017_Assessment_Final.pdf",65,39,7,0,0,0,1,28,4,0,3,64,5,0,0,0,78,29,0,18,0,16,0,0,62,0,18,3,9,1,974,0,8,8,0,0,0,0,4,8,0,0,0,6,6,0,2,11,2,0
"45","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/sablefish_20191022.pdf",341,91,105,18,0,1,0,40,0,0,0,407,17,6,0,0,231,28,0,12,8,10,0,0,103,6,36,3,16,60,2428,0,0,13,0,0,2,2,2,0,0,0,6,6,0,0,5,9,1,11
"46","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/WidowAssessment2015.pdf",169,22,84,2,0,0,0,29,0,0,10,101,2,2,0,0,117,20,1,4,0,1,0,0,223,3,27,1,23,13,1252,0,9,9,0,0,4,0,4,9,0,0,0,2,3,0,4,9,10,0
"47","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/Yelloweye rockfish 2017.pdf",100,50,12,0,0,0,0,29,1,0,4,68,14,7,0,0,173,10,1,21,2,4,0,0,59,1,39,4,22,1,1220,0,2,12,0,0,0,1,17,8,0,0,1,17,10,0,0,7,0,0
"48","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/Yellowtail rockfish 2017.pdf",113,50,6,0,0,0,0,13,6,0,2,44,11,4,0,0,146,23,1,32,0,9,0,0,60,2,20,3,3,0,1467,0,3,5,0,0,0,0,9,0,0,0,0,5,0,0,2,12,0,0
"49","NOAA-PIFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-PIFSC/NMFS-PIFSC-60.pdf",134,69,1,4,0,0,0,0,0,0,0,7,0,2,0,0,372,1,0,0,0,0,0,0,2,0,167,5,2,16,796,0,0,0,0,0,0,0,0,0,2,1,16,0,0,0,0,0,0,0
"50","NOAA-PIFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-PIFSC/noaa_17252_DS1.pdf",283,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330,87,0,218,1,0,1,0,0,0,0,0,186,3,1320,0,68,2,0,0,7,1,0,1,0,0,0,0,0,0,12,1,0,0
"51","NOAA-PIFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-PIFSC/noaa_20062_DS1.pdf",132,35,4,2,0,0,0,0,0,0,0,11,0,1,0,0,218,0,0,0,0,0,0,0,4,0,127,9,2,14,598,0,0,0,0,0,0,1,0,0,1,0,9,0,0,0,0,1,0,0
"52","NOAA-PIFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-PIFSC/noaa_21164_DS1.pdf",816,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,336,223,0,176,1,0,0,0,6,0,0,0,519,4,1516,0,201,0,0,0,0,0,0,1,0,0,0,0,0,0,25,0,0,0
"53","NOAA-PIFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-PIFSC/SA-WP-06-[SP-alb-assessment] Rev 1.pdf",136,5,82,0,0,0,0,3,0,0,0,63,0,1,0,0,56,1,0,45,2,0,0,0,0,0,0,0,45,6,741,0,0,0,0,0,8,0,3,11,0,5,8,2,1,0,0,0,0,1
"54","NOAA-PIFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-PIFSC/SC14-SA-WP-08 Silky shark stock assessment (1).pdf",118,52,29,0,0,0,0,0,6,4,0,35,0,0,0,0,228,1,2,223,37,6,0,0,0,0,0,0,18,15,1068,0,1,0,0,0,6,0,25,2,0,0,9,0,0,0,0,15,0,0
"55","NOAA-PIFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-PIFSC/SC15-SA-WP-05 SKJ-Assessment REV2 (1).pdf",253,18,165,0,0,0,0,6,0,0,0,55,0,0,0,0,59,2,0,67,0,5,1,0,0,0,0,0,74,5,1230,0,0,1,0,0,28,0,35,14,0,1,6,0,0,0,5,2,0,1
"56","NOAA-PIFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-PIFSC/SC15-SA-WP-06 Oceanic whitetip shark_assessment.pdf",127,12,95,0,0,2,0,0,0,4,0,27,3,0,0,0,197,1,0,47,3,5,0,0,0,0,0,0,81,1,1025,0,1,0,0,0,27,0,2,0,0,0,0,0,0,0,0,4,0,0
"57","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/05.-Traditional-Interim-assessment-report-RS-002-1.pdf",4,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,5,0,1,0,3,0,0,1,0,0,0,0,2,148,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"58","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/08b.-SEDAR61_2021IA_Final.pdf",2,31,0,0,0,0,0,0,0,0,0,1,0,0,0,0,26,9,0,1,0,10,0,0,7,0,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"59","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/2019_WHM_SA_ENG.pdf",83,5,5,8,0,0,0,0,1,0,0,14,0,0,0,0,58,1,5,41,0,0,0,0,10,0,0,0,96,15,579,0,0,0,0,0,39,0,0,0,0,3,0,0,0,0,6,6,0,0
"60","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/2020_ALB_ENG.pdf",595,31,0,0,0,0,0,1,0,0,1,4,1,0,0,0,101,6,0,189,0,1,0,0,1,0,0,0,149,52,886,0,1,0,0,0,58,0,1,0,0,5,2,1,0,0,6,6,0,0
"61","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/2021_WBFT_SA_ENG.pdf",71,10,16,19,0,0,0,6,0,4,0,43,1,0,0,3,21,0,0,4,0,1,0,0,0,0,0,0,0,11,226,0,0,0,0,1,0,0,7,0,0,0,8,2,0,0,4,0,0,0
"62","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/Atl_Blacknose_SAR.pdf",501,184,30,11,0,4,0,1,42,0,0,34,7,2,0,0,418,35,1,296,8,9,0,0,144,0,2,2,302,23,4053,0,0,1,0,5,185,0,0,2,0,0,0,4,6,0,38,15,0,1
"63","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/B-8a-Gray_triggerfish_interim_9102020.pdf",6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,6,0,0,0,3,0,0,5,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"64","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/Dusky_update_report_2016.pdf",41,33,0,2,0,1,0,6,15,0,6,21,2,5,0,0,21,0,5,5,0,0,0,0,12,0,2,0,59,2,523,1,0,0,0,8,30,1,2,0,0,0,0,1,0,0,6,3,0,1
"65","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/KGM_GOM_SA_08282020_final-revision_3.pdf",126,18,34,71,0,0,0,11,15,0,1,35,2,0,4,0,25,5,3,8,0,7,0,0,76,19,0,0,5,0,622,0,1,4,0,0,2,0,13,0,0,0,0,2,0,0,1,5,2,0
"66","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/S23_SAR_complete_and_final.pdf",353,101,107,118,0,4,0,4,5,0,0,27,2,0,0,0,112,77,1,11,1,3,0,0,205,0,323,3,59,24,3142,0,0,2,0,0,29,0,0,1,0,3,0,0,10,0,43,14,0,0
"67","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/S28UpdateSAR_V2.pdf",152,23,55,75,0,1,0,4,26,1,0,64,11,7,1,0,24,18,1,26,0,0,0,0,98,1,20,0,2,0,1106,1,15,5,0,0,1,0,31,0,0,0,3,22,0,0,6,4,0,2
"68","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/S34_ATSH_SAR.pdf",131,146,3,2,0,4,0,1,40,0,0,28,2,3,0,0,175,23,1,51,3,1,0,0,38,0,2,1,316,19,1900,0,0,1,0,0,224,0,1,3,0,0,3,1,5,0,109,6,0,0
"69","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/S51_FINAL_SAR_0.pdf",271,106,54,77,1,0,0,3,12,1,0,75,10,2,0,1,102,11,0,44,4,9,1,0,309,0,23,4,34,53,3638,0,1,3,0,0,14,0,41,8,0,0,35,6,1,0,25,10,10,0
"70","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/S52_Final_SAR_v2.pdf",259,80,79,90,0,7,0,7,25,0,0,154,28,14,0,0,71,25,1,78,1,1,0,0,84,24,41,7,37,108,2912,0,14,2,0,0,8,0,10,18,0,0,7,92,22,0,17,0,2,2
"71","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/S57_Final_SAR.pdf",145,46,24,13,0,0,0,28,38,6,6,40,11,10,0,0,55,29,1,23,0,4,0,0,193,0,16,1,45,58,1259,0,10,2,0,0,20,0,46,44,0,7,2,0,0,0,8,11,0,1
"72","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/S64_SAR_FINAL.pdf",395,78,69,125,0,1,0,28,21,6,1,136,9,2,0,3,120,36,0,81,3,7,0,0,320,18,85,11,47,81,2975,2,1,0,0,0,23,1,70,15,0,0,2,18,0,0,17,34,2,3
"73","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/S67_Final_SAR.pdf",224,44,108,131,0,1,0,3,26,0,0,114,8,12,0,0,105,32,1,89,4,1,0,0,144,0,45,2,65,29,2069,0,11,1,0,0,31,0,31,4,0,0,5,50,5,0,16,8,2,1
"74","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/S72_SAR_FINAL.pdf",495,43,218,227,0,0,0,6,25,5,0,83,9,8,0,0,53,34,0,64,2,1,0,0,169,9,5,1,42,93,2905,0,17,20,0,1,20,0,60,0,0,0,9,30,0,1,13,15,0,4
