"ID","Region","File_Path","catch","total mortality","harvest","total removals","catch per unit effort|cpue","catch rate","index of abundance","catch per effort|fishing success","landings","retained catch","projection","forecast","prediction","sex","gender","spawning biomass|sb","spawning stock biomass|ssb","spawning output","spawning stock output|sso|mature biomass|spawners|effective spawning output","mass","weight"
"21","Australia-Other","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Other/Snapper_Chrysophrys_auratus_Fishery_Assessment.pdf",182,0,32,0,71,21,5,0,0,0,1,0,0,10,0,88,0,0,10,0,52
"22","Australia-Other","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Other/sz-rock-lobster-2019-20-assessment.pdf",267,1,17,0,92,50,2,0,2,0,0,0,1,31,0,0,0,0,10,1,50
"23","Australia-Other","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Other/Torres Strait Spanish mackerel stock assessment with data to June 2021.pdf",226,2,122,0,0,63,0,0,3,5,0,18,8,5,0,32,2,0,17,0,20
"24","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/Barramundi Stock Assessment 2019 Final.pdf",226,0,167,0,0,42,1,0,6,1,4,0,0,5,2,0,0,0,37,0,9
"25","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/Black teatfish stock assessment 2021.pdf",46,0,25,0,0,5,1,0,0,0,0,0,0,0,0,5,0,0,4,0,11
"26","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/blue swimmer crab stock assessment report 2020.pdf",75,0,106,0,0,19,7,0,0,2,6,2,0,6,0,5,0,0,1,0,5
"27","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/BWF_StockAssessmentReport_2019_FINAL.pdf",116,1,99,0,7,13,0,0,0,0,4,0,0,19,1,29,0,0,21,1,22
"28","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/Common coral trout stock assessment 2020.pdf",48,1,88,0,0,12,1,0,0,3,5,1,3,7,0,11,1,6,12,3,17
"29","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/Eastern king prawn stock assessment report 2020.pdf",131,0,49,0,4,38,1,0,0,0,0,0,0,5,0,28,0,0,6,0,5
"30","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/Grey_mackerel_stock_assessment_report_2019_final.pdf",72,0,139,0,0,21,0,0,0,0,0,0,5,2,0,1,0,0,9,0,6
"31","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/King threadfin stock assessment 2020.pdf",148,0,138,0,7,59,0,0,5,1,1,1,0,5,0,40,0,14,15,0,18
"32","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/Mudcrab Catch-MSY Final.pdf",57,0,52,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"33","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/Mullet_stock_assessment_report_2018.pdf",133,0,72,0,1,26,0,0,16,0,0,0,0,17,5,5,0,0,6,0,13
"34","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/redthroat emperor stock assessment report 2020.pdf",59,1,82,0,3,14,1,0,0,3,3,1,0,14,0,9,3,4,3,0,33
"35","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/Saddletail snapper stock assessment report 2021.pdf",111,0,123,0,2,36,0,0,20,4,2,1,0,30,0,29,1,6,16,1,23
"36","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/SnapperStockAssessment2018V3.pdf",374,0,142,0,2,73,10,0,3,0,0,0,3,0,0,17,0,0,12,0,15
"37","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/Spanish mackerel EC stock assessment report 2021.pdf",191,3,100,0,0,42,1,0,3,1,11,1,6,6,0,63,2,6,6,0,20
"38","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/Spanish mackerel GOC stock assessment report 2019.pdf",79,0,102,0,0,24,0,0,0,0,0,1,1,8,0,16,8,2,7,0,15
"39","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/Stock assessment of Queensland east coast crimson snapper.pdf",97,0,150,0,0,22,6,0,0,5,0,2,0,9,0,74,5,4,9,1,18
"40","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/Stock assessment of Queensland red emperor 2022.pdf",196,1,169,0,0,35,4,0,0,34,0,1,0,11,0,96,8,5,40,1,25
"41","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/Stock assessment of the Queensland ballots saucer scallop_2022ed..pdf",160,0,73,0,11,46,2,0,1,0,1,0,0,0,0,35,1,0,10,0,13
"42","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/stout whiting stock assessment report 2021.pdf",126,0,79,0,0,36,0,0,1,0,4,1,0,1,0,20,3,0,0,0,16
"43","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/Tailor stock assessment report 2020.pdf",88,0,138,0,0,22,0,0,0,4,1,2,0,3,0,61,0,0,9,0,24
"44","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/Tiger prawn stock assessment report 2020.pdf",113,1,59,0,0,33,0,0,1,0,1,0,0,0,0,4,1,0,4,0,13
"45","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/White teatfish stock assessment 2021.pdf",73,0,32,0,0,17,0,0,0,0,0,0,0,0,0,15,0,0,10,0,22
"46","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/01_WGNSSK_Report_2019.pdf",1319,21,169,8,114,12,2,0,1512,0,8,401,64,47,0,590,575,0,117,7,241
"47","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/ices2023_WKBCOD_report_2023.pdf",334,1,15,0,5,2,0,0,396,0,1,49,3,0,0,165,162,0,37,3,47
"48","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/WKBALTCOD2_2019.pdf",274,0,71,0,50,0,0,0,85,0,1,23,7,16,0,67,83,0,51,4,82
"49","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/WKBBALTPEL_2023_final_report.pdf",295,9,6,0,7,0,1,0,126,0,7,18,19,12,1,176,178,0,52,0,82
"50","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/wkdem_2020.pdf",173,1,3,0,2,0,0,0,80,0,0,3,18,0,0,60,54,0,20,1,18
"51","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/WKFlatNSCS_2020.pdf",423,0,1,0,8,2,36,0,3357,0,0,18,23,99,0,131,131,0,61,1,220
"52","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/WKMSYSPiCT_2021.pdf",328,1,14,0,244,0,0,0,254,0,0,55,17,8,0,7,3,0,20,2,31
"53","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/WKSPRAT_2018_Report.pdf",53,1,6,0,5,0,2,0,5,0,0,16,2,0,0,17,18,0,9,0,13
"54","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIatf.pdf",31,0,4,0,1,0,0,0,0,0,9,0,0,0,0,2,0,0,3,0,0
"55","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIatka.pdf",151,2,32,2,42,0,0,0,6,2,5,0,1,4,0,66,3,0,26,1,37
"56","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIocto.pdf",84,1,10,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,11,0,8
"57","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIoflat (8).pdf",31,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
"58","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIorock (5).pdf",71,0,6,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0
"59","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIpop.pdf",18,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,1,0,0
"60","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIrocksole.pdf",32,2,20,0,2,0,4,0,0,0,4,1,13,28,0,24,11,0,4,1,9
"61","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIrougheye (2).pdf",101,2,33,1,18,0,0,0,0,0,1,0,1,0,0,26,20,0,8,0,19
"62","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIskate.pdf",18,0,8,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0
"63","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/EBSpcod.pdf",183,2,74,2,217,6,5,0,9,11,12,0,2,0,0,197,8,1,126,1,104
"64","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/EBSPollock.pdf",186,1,31,1,23,0,0,0,1,10,9,0,2,11,0,80,8,1,22,21,32
"65","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/GOAdeepflat.pdf",42,0,16,0,4,0,0,0,0,0,3,0,0,6,0,26,12,0,12,0,3
"66","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/GOAskate (9).pdf",43,1,23,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"67","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/PIRKC.pdf",27,0,6,0,1,0,0,0,1,5,0,0,0,20,0,2,2,0,3,1,7
"68","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/sablefish.pdf",269,1,53,4,112,11,2,2,16,2,23,0,1,13,0,183,98,0,83,0,57
"69","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/SAFE_snow.pdf",76,1,14,0,2,0,1,0,0,30,0,0,0,30,0,2,0,0,30,2,13
"70","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/2020_FLD_GMGB_RPT.pdf",13,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,2,0,0,0,0
"71","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/2020_FLW_GM_RPT_Update_report_08_26_095440 (1).pdf",13,0,0,2,0,0,0,0,5,0,0,0,0,0,0,2,2,0,0,0,0
"72","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/2020_Herring_Unit_Report.pdf",10,0,2,0,0,0,0,0,0,0,6,0,0,0,0,5,8,0,0,0,0
"73","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/2020_HKR_SNEMA_RPT.pdf",9,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,2,0,0,0,0
"74","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/2020_HKS_GM_RPT.pdf",12,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,0,0,0,0
"75","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/2020_scallop_unit_maindoc_rev.pdf",2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,8,0,0,0,1
"76","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/2021_COD_GB_REPORT_ver3.pdf",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,1,0,0
"77","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/2021_scup_MTA_report.pdf",22,0,0,0,3,0,1,0,15,0,3,0,0,0,0,18,31,0,1,0,0
"78","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/2021_summer_flounder_MTA_report.pdf",20,0,1,0,0,0,0,0,14,0,5,0,0,1,0,29,40,0,1,0,0
"79","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/4d_SkateAssessmentUpdate_July_2020.pdf",14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5
"80","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/Bluefish_2021_Assesssment_Update_v4.pdf",14,0,0,0,0,0,0,0,12,0,2,0,0,0,0,16,22,0,0,0,0
"81","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/crd0609a.pdf",123,2,10,0,7,1,1,0,336,0,5,0,0,2,0,93,101,0,15,0,66
"82","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/Georges_Bank_Winter_Flounder_Update_2020_09_18_111359.pdf",15,0,1,0,0,0,0,0,4,0,2,0,0,0,0,14,18,0,3,0,1
"83","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/Golden_Tile_Assessment_MT2021_2.pdf",12,0,0,0,19,0,1,0,27,0,1,0,0,0,0,24,34,0,0,0,1
"84","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/noaa_24818_DS1.pdf",78,2,0,0,0,0,0,0,39,0,0,0,3,0,0,1,10,0,6,0,8
"85","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/TSR_EGB_Haddock_2021_meeting_draft.pdf",40,2,1,0,0,0,0,0,20,0,0,0,0,0,0,1,0,0,1,0,5
"86","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/2011Dick3.pdf",256,2,25,0,28,0,1,0,130,1,0,29,1,7,18,16,4,76,44,0,20
"87","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/agenda-item-h-5-attachment-9-2.pdf",175,20,30,3,10,2,9,0,98,1,2,3,0,12,1,36,6,137,41,1,45
"88","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/Blue-Deacon_Assessment_2017_Final.pdf",446,10,96,9,123,21,18,0,241,12,13,11,8,21,31,24,17,165,122,0,18
"89","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/c-6-attachment-1-full-assessment-electronic-only-status-of-lingcod-ophiodon-elongatus-along-the-northern-u-s-west-coast-in-2021.pdf",157,9,7,0,43,1,9,0,146,6,3,4,0,25,15,50,20,3,35,0,28
"90","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/Cabezon-2019_FINAL.pdf",306,9,78,9,58,10,17,1,108,0,14,9,4,8,24,154,7,108,70,1,38
"91","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/California Scorpionfish.pdf",210,0,26,3,36,2,16,0,38,28,3,10,0,36,1,43,1,7,13,0,15
"92","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/dover_sole_december_2021_final.pdf",63,9,18,1,0,0,19,0,80,0,6,10,0,64,1,109,3,2,14,0,19
"93","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/g-5-attachment-3-draft-full-assessment-of-status-of-the-pacific-spiny-dogfish-shark-resource-off-the-continental-u-s-pacific-coast-in-2021-electronic-only.pdf",167,8,24,0,0,3,1,0,108,4,0,0,2,6,0,9,1,74,35,0,23
"94","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/Gopher_BlackandYellow_Assessment_2019-1.pdf",237,22,16,1,11,0,25,0,106,3,0,4,0,8,0,9,1,30,19,0,10
"95","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/hake-assessment-post-srg-final_20210303.pdf",389,0,79,1,13,0,6,0,29,1,5,48,0,1,7,221,6,0,69,2,55
"96","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/Longnose skate 2019_FINAL.pdf",187,5,12,1,12,3,1,0,174,1,0,0,1,6,0,80,0,17,43,0,24
"97","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/PacificOceanPerch2017_Assessment_Final.pdf",78,0,29,0,18,0,16,0,62,0,2,5,0,11,2,7,0,90,16,0,38
"98","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/sablefish_20191022.pdf",231,8,28,0,12,8,10,0,103,6,5,7,7,9,1,105,18,6,46,2,53
"99","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/WidowAssessment2015.pdf",117,3,20,1,4,0,1,0,223,3,4,21,5,9,10,84,2,7,15,0,30
"100","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/Yelloweye rockfish 2017.pdf",173,0,10,1,21,2,4,0,59,1,0,2,0,7,0,12,0,82,31,1,7
"101","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/Yellowtail rockfish 2017.pdf",146,0,23,1,32,0,9,0,60,2,2,10,0,12,0,6,0,51,35,0,30
"102","NOAA-PIFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-PIFSC/NMFS-PIFSC-60.pdf",372,5,1,0,0,0,0,0,2,0,0,0,0,0,0,1,4,0,16,0,13
"103","NOAA-PIFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-PIFSC/noaa_17252_DS1.pdf",330,1,87,0,218,1,0,1,0,0,12,0,0,1,0,0,0,0,15,1,19
"104","NOAA-PIFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-PIFSC/noaa_20062_DS1.pdf",218,2,0,0,0,0,0,0,4,0,0,0,0,1,0,4,2,0,17,1,4
"105","NOAA-PIFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-PIFSC/noaa_21164_DS1.pdf",336,0,223,0,176,1,0,0,6,0,25,0,0,0,0,3,0,0,11,0,8
"106","NOAA-PIFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-PIFSC/SA-WP-06-[SP-alb-assessment] Rev 1.pdf",56,1,1,0,45,2,0,0,0,0,0,0,0,0,0,82,0,0,5,0,8
"107","NOAA-PIFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-PIFSC/SC14-SA-WP-08 Silky shark stock assessment (1).pdf",228,0,1,2,223,37,6,0,0,0,0,0,0,15,0,29,0,0,187,0,0
"108","NOAA-PIFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-PIFSC/SC15-SA-WP-05 SKJ-Assessment REV2 (1).pdf",59,1,2,0,67,0,5,1,0,0,5,0,0,2,0,165,0,0,32,0,13
"109","NOAA-PIFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-PIFSC/SC15-SA-WP-06 Oceanic whitetip shark_assessment.pdf",197,4,1,0,47,3,5,0,0,0,0,0,13,4,0,95,0,0,32,0,7
"110","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/05.-Traditional-Interim-assessment-report-RS-002-1.pdf",27,0,5,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,16
"111","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/08b.-SEDAR61_2021IA_Final.pdf",26,0,9,0,1,0,10,0,7,0,3,0,0,0,0,0,0,0,0,0,13
"112","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/2019_WHM_SA_ENG.pdf",58,0,1,5,41,0,0,0,10,0,6,0,0,6,0,5,8,0,4,0,5
"113","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/2020_ALB_ENG.pdf",101,0,6,0,189,0,1,0,1,0,6,3,4,6,0,0,0,0,19,0,33
"114","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/2021_WBFT_SA_ENG.pdf",21,0,0,0,4,0,1,0,0,0,4,0,0,0,0,16,19,0,10,0,0
